 ,Area,XM,YM
1,238,498.708,484.931
2,233,497.256,484.857
3,241,499.146,485.313
4,239,499.817,484.230
5,231,500.918,483.620
6,238,501.502,484.256
7,224,501.579,481.385
8,217,499.584,480.396
9,210,498.347,479.359
10,216,495.634,482.482
11,230,497.033,484.387
12,232,500.316,483.553
13,234,501.100,483.255
14,233,501.498,482.475
15,213,501.283,481.070
16,216,500.905,480.728
17,206,498.559,478.206
18,197,495.811,480.253
19,218,494.840,482.120
20,226,494.799,483.627
21,228,495.757,483.873
22,228,498.348,484.984
23,240,500.742,483.756
24,233,500.675,483.669
25,224,500.951,481.576
26,204,497.750,479.455
27,218,495.603,480.782
28,208,495.042,480.748
29,224,494.936,482.673
30,224,494.857,483.447
31,240,498.811,484.419
32,233,497.460,485.006
33,230,496.479,484.807
34,229,497.776,485.496
35,234,498.547,485.006
36,229,497.095,485.144
37,229,501.159,482.545
38,213,500.225,481.185
39,205,497.449,479.938
40,200,495.217,478.971
41,206,494.819,480.764
42,225,495.172,482.445
43,214,494.825,481.921
44,222,495.610,483.592
45,230,497.277,485.029
46,232,498.522,485.202
47,231,500.918,483.608
48,234,500.643,483.521
49,220,500.601,481.416
50,214,500.239,480.094
51,211,500.925,480.947
52,202,498.398,478.878
53,210,497.570,480.371
54,206,495.860,480.640
55,213,495.164,482.961
56,225,496.309,484.320
57,226,496.811,485.049
58,245,500.112,485.565
59,232,501.230,483.319
60,232,500.500,484.083
61,231,500.713,483.416
62,207,500.402,480.393
63,203,496.415,479.894
64,199,496.692,479.700
65,220,495.872,481.532
66,214,494.924,482.536
67,222,495.459,484.456
68,237,500.189,485.805
69,226,501.452,482.229
70,196,499.121,479.516
71,190,497.490,478.615
72,210,494.531,481.027
73,226,496.927,485.611
74,239,499.938,485.227
75,236,501.419,482.709
76,212,499.753,480.708
77,203,498.634,480.019
78,194,496.637,479.269
79,200,497.775,479.486
80,208,498.108,480.571
81,198,497.726,479.036
82,209,495.686,480.145
83,219,494.765,483.920
84,228,496.210,484.172
85,233,497.299,484.560
86,226,496.635,484.885
87,227,497.585,485.312
88,231,498.157,485.113
89,235,498.318,486.062
90,228,500.809,483.687
91,226,500.173,481.317
92,213,494.523,480.934
93,211,495.840,480.785
94,208,495.536,478.826
95,216,494.633,482.015
96,225,496.556,483.324
97,237,499.733,484.399
98,216,500.703,480.913
99,200,496.155,478.931
100,198,495.753,479.317
101,210,494.659,480.672
102,215,495.361,481.795
103,228,496.200,484.734
104,227,499.913,483.265
105,230,500.331,483.165
106,215,499.675,481.197
107,195,496.058,479.033
108,208,494.248,480.701
109,228,494.917,483.931
110,235,496.785,484.259
111,233,498.357,485.024
112,241,499.846,485.097
113,214,500.447,481.502
114,208,495.306,479.660
115,215,494.664,481.955
116,225,495.732,483.902
117,231,497.407,485.155
118,236,498.095,485.142
119,229,498.347,484.405
120,223,498.214,484.264
121,233,499.515,484.482
122,231,500.343,482.034
123,200,497.744,479.361
124,203,497.140,479.383
125,202,494.160,480.555
126,226,494.743,483.881
127,232,495.649,484.517
128,225,497.951,484.818
129,231,501.693,483.083
130,225,499.512,482.156
131,186,498.779,478.469
132,219,495.366,482.687
133,226,496.499,484.110
134,227,497.114,484.862
135,225,497.209,485.729
136,237,498.874,485.712
137,234,500.276,485.106
138,221,501.570,482.338
139,193,500.276,480.067
140,201,497.634,479.791
141,201,494.619,481.056
142,235,497.923,485.088
143,236,500.609,483.338
144,203,499.783,479.170
145,191,496.468,479.276
146,220,495.422,481.604
147,220,495.137,482.898
148,225,496.513,483.591
149,230,500.597,484.407
150,216,499.863,480.270
151,204,497.483,479.415
152,193,496.252,479.080
153,209,494.525,480.151
154,214,495.299,482.781
155,223,497.489,483.707
156,227,498.834,484.254
157,216,500.794,481.003
158,195,498.919,479.271
159,203,495.993,479.314
160,213,494.668,482.466
161,221,495.489,483.354
162,223,495.898,483.525
163,233,497.899,484.656
164,230,500.601,483.305
165,209,500.880,480.780
166,202,500.314,479.755
167,188,498.217,478.806
168,201,496.811,478.752
169,206,496.681,479.097
170,225,495.778,483.839
171,229,497.150,485.397
172,233,500.687,483.237
173,215,501.054,481.321
174,194,498.711,478.110
175,200,495.644,479.672
176,209,494.999,481.259
177,232,497.283,484.186
178,230,501.124,483.711
179,209,500.575,480.968
180,192,497.591,477.892
181,219,495.447,482.781
182,230,498.177,484.539
183,230,500.933,482.301
184,207,501.202,480.120
185,210,498.892,479.382
186,210,496.023,478.993
187,215,494.368,481.173
188,224,496.154,484.134
189,228,499.566,483.872
190,218,500.502,480.666
191,203,497.416,479.337
192,217,493.681,482.970
193,230,496.884,485.092
194,232,500.472,484.019
195,206,499.365,480.287
196,200,495.597,480.409
197,225,495.769,484.086
198,228,498.960,484.741
199,232,497.640,485.331
200,228,497.853,485.325
201,223,500.426,483.354
202,215,501.039,481.475
203,194,498.932,479.399
204,190,496.737,479.491
205,198,496.128,480.358
206,206,495.216,481.472
207,210,494.983,482.236
208,205,496.024,481.227
209,208,496.692,480.531
210,211,495.755,482.786
211,226,497.304,485.371
212,233,500.592,486.063
213,209,501.429,481.575
214,182,498.088,478.934
215,210,496.464,481.864
216,212,496.066,483.551
217,236,499.870,485.288
218,235,501.475,484.768
219,212,501.223,482.919
220,208,500.949,482.475
221,188,498.630,480.928
222,212,494.656,483.571
223,221,495.581,484.009
224,217,495.762,485.009
225,225,497.364,485.729
226,230,498.640,487.019
227,230,500.928,483.777
228,221,501.371,482.563
229,211,501.521,481.901
230,155,498.096,479.419
231,186,495.536,479.045
232,203,495.304,481.060
233,218,496.070,484.713
234,232,499.874,486.361
235,229,501.111,483.569
236,231,500.907,484.452
237,232,499.787,485.230
238,219,501.347,482.888
239,200,499.731,480.666
240,189,496.765,480.533
241,195,496.379,482.291
242,193,497.246,480.537
243,200,497.361,481.159
244,192,498.631,480.139
245,195,497.318,480.201
246,199,495.304,480.744
247,225,495.789,485.126
248,233,500.230,486.229
249,235,502.290,483.516
250,203,499.337,480.764
251,200,498.473,480.423
252,188,495.584,480.767
253,219,495.521,483.793
254,228,497.414,485.694
255,233,498.544,486.543
256,226,501.269,484.282
257,211,499.887,481.549
258,193,496.422,479.440
259,220,495.960,484.260
260,225,497.431,485.934
