 ,Area,XM,YM
1,524,791.045,574.259
2,556,789.519,572.043
3,552,791.046,574.453
4,532,791.068,571.707
5,546,789.825,573.059
6,545,791.083,572.511
7,620,787.238,570.992
8,629,785.221,567.894
9,632,786.725,570.453
10,581,788.306,573.447
11,584,791.024,573.393
12,557,791.544,571.047
13,548,788.792,571.213
14,538,790.529,570.657
15,543,789.235,573.462
16,543,790.322,570.263
17,537,792.293,568.046
18,543,790.072,571.160
19,555,788.870,573.477
20,565,788.037,575.576
21,584,789.589,577.097
22,590,792.812,578.905
23,572,791.646,579.038
24,574,791.726,578.702
25,577,790.401,576.348
26,560,790.499,574.274
27,571,789.838,570.751
28,563,789.793,571.229
29,571,789.035,571.599
30,538,791.557,572.422
31,543,791.644,571.410
32,546,793.228,573.651
33,534,793.723,572.427
34,567,791.166,575.464
35,574,789.235,576.506
36,564,788.501,576.265
37,625,789.866,576.645
38,570,788.212,573.937
39,547,789.632,572.753
40,550,790.861,568.385
41,554,790.534,569.937
42,537,789.574,570.567
43,564,788.027,573.448
44,575,786.733,572.665
45,563,787.244,570.704
46,597,785.588,569.897
47,581,786.325,568.837
48,605,787.587,568.758
49,560,788.755,572.158
50,547,792.114,569.532
51,547,792.615,566.902
52,545,792.434,566.576
53,538,792.481,569.162
54,531,795.578,569.853
55,521,794.499,571.144
56,522,795.357,572.637
57,546,795.707,573.069
58,543,792.019,573.183
59,530,789.563,571.967
60,550,788.728,569.988
61,567,786.681,570.219
62,575,788.039,569.742
63,593,789.237,566.778
64,556,790.485,569.936
65,532,793.135,572.052
66,539,793.743,575.942
67,540,795.821,571.235
68,500,797.375,573.016
69,259,799.109,573.046
70,199,797.601,572.748
71,191,799.122,574.882
72,188,797.605,571.969
73,188,796.769,570.977
74,212,796.825,568.128
75,187,797.279,570.114
76,180,799.052,570.873
77,169,799.122,571.670
78,157,795.788,575.249
79,177,796.936,576.297
80,209,795.384,578.167
81,210,793.964,576.137
82,219,793.947,577.254
83,238,793.500,577.187
84,236,794.913,576.134
85,246,797.067,575.553
86,265,798.643,572.906
87,284,799.156,570.980
88,295,795.973,572.167
89,329,793.737,571.196
90,374,793.738,571.693
91,418,795.000,570.692
92,432,795.368,573.367
93,416,795.166,571.679
94,425,794.291,573.612
95,443,796.550,575.208
96,461,797.767,576.062
97,479,798.085,574.824
98,490,798.407,574.945
99,510,798.213,577.047
100,504,796.007,578.328
101,551,792.349,579.720
102,550,789.986,579.241
103,523,790.991,577.321
104,524,791.984,574.069
105,537,791.509,575.364
106,535,792.699,575.391
107,514,797.471,571.437
108,520,799.162,574.054
109,537,801.381,570.665
110,527,802.624,569.966
111,536,803.233,565.307
112,541,803.812,565.453
113,545,803.432,569.936
114,569,802.124,572.799
115,576,801.484,574.144
116,538,803.952,577.431
117,554,804.434,577.808
118,536,799.575,574.726
119,535,800.132,574.352
120,546,799.678,578.462
121,552,801.488,580.551
122,535,796.697,578.990
123,550,793.609,578.967
124,541,789.678,575.528
125,510,791.228,570.909
126,506,791.819,569.361
127,520,792.848,568.459
128,537,794.043,567.946
129,572,797.655,565.465
130,559,799.605,568.047
131,537,799.120,569.888
132,556,801.598,570.752
133,528,797.665,574.270
134,502,798.059,575.308
135,512,798.034,571.073
136,516,795.957,570.556
137,526,794.623,564.530
138,524,796.004,567.858
139,532,797.349,567.152
140,528,793.063,566.693
141,510,792.510,568.177
142,518,794.193,571.064
143,506,793.894,571.757
144,497,793.197,574.717
145,512,793.855,573.079
146,511,794.070,567.805
147,546,796.163,564.025
148,522,794.501,565.575
149,511,796.843,568.745
150,529,795.817,574.627
151,542,795.910,579.056
152,551,799.932,579.599
153,562,801.405,579.551
154,550,801.119,577.926
155,515,802.510,576.956
156,545,801.815,577.810
157,517,802.428,575.907
158,536,799.580,576.198
159,560,801.058,576.839
160,546,802.831,581.268
161,525,801.847,583.008
162,581,797.525,582.940
163,546,797.568,581.488
164,555,798.851,578.614
165,546,800.160,577.689
166,543,799.796,580.520
167,564,800.828,582.775
168,556,797.766,581.555
169,561,793.404,580.455
170,540,795.048,580.019
171,588,793.802,580.252
172,576,792.979,579.514
173,593,793.439,582.921
174,575,794.736,579.179
175,553,797.864,581.770
176,617,796.461,582.006
177,623,796.009,583.371
178,649,796.208,584.341
179,645,796.328,584.211
180,634,793.555,581.623
181,626,795.961,581.223
182,613,794.814,580.633
183,587,791.914,580.674
184,576,793.400,583.104
185,560,796.160,584.149
186,598,796.399,581.906
187,586,795.083,582.094
188,579,797.008,582.205
189,544,798.004,582.513
190,559,794.932,580.248
191,558,793.377,578.079
192,531,792.045,578.344
193,504,791.886,575.074
194,525,791.601,575.178
195,514,794.523,575.358
196,516,793.232,576.269
197,612,794.566,579.618
198,519,799.532,583.246
199,541,802.005,583.225
200,540,800.034,581.067
201,546,800.069,580.082
202,577,797.854,580.584
203,604,795.898,581.529
204,567,793.010,580.979
205,563,795.931,580.734
206,601,795.080,581.042
207,605,795.935,580.006
208,631,795.473,580.925
209,594,798.409,580.825
210,552,797.643,579.479
211,557,794.761,580.707
212,536,793.813,577.703
213,548,796.303,578.138
214,552,793.270,579.890
