 ,Area,XM,YM
1,222,802.059,631.349
2,222,803.273,630.577
3,215,803.695,631.930
4,212,802.339,632.883
5,206,803.967,632.082
6,200,803.415,631.915
7,189,801.414,632.769
8,188,800.513,633.212
9,193,799.887,633.336
10,199,800.242,636.373
11,200,798.422,636.318
12,208,797.838,637.092
13,199,797.794,638.330
14,195,797.161,640.477
15,195,796.002,641.046
16,201,794.786,640.864
17,188,794.909,640.972
18,189,793.075,640.200
19,190,793.100,638.319
20,176,793.241,639.154
21,196,791.120,636.246
22,182,789.448,634.409
23,193,789.474,636.802
24,193,788.888,638.354
25,186,790.274,636.370
26,191,791.279,638.289
27,195,792.876,637.860
28,196,792.274,637.172
29,180,791.893,635.309
30,197,792.168,633.448
31,188,793.840,630.473
32,176,794.546,627.641
33,187,791.426,625.188
34,183,789.320,624.145
35,183,788.253,622.445
36,182,785.814,621.626
37,185,785.729,622.679
38,178,787.289,624.470
39,199,787.963,621.521
40,175,790.116,617.608
41,181,786.943,615.325
42,175,786.601,616.705
43,172,787.102,619.970
44,180,786.744,619.282
45,179,787.288,614.712
46,178,787.670,614.107
47,173,786.145,614.850
48,173,786.505,616.595
49,176,787.283,616.570
50,172,786.684,616.986
51,176,785.771,617.169
52,172,784.004,618.456
53,180,783.186,617.635
54,194,780.662,619.523
55,181,779.059,621.583
56,184,780.028,622.118
57,191,779.724,624.416
58,179,782.263,626.315
59,189,780.848,624.937
60,192,780.051,623.938
61,187,778.961,625.935
62,196,778.467,626.128
63,189,778.970,625.641
64,188,778.801,625.294
65,194,778.026,624.450
66,188,778.447,623.575
67,193,776.537,623.831
68,186,775.362,622.351
69,188,775.018,623.000
70,191,775.744,619.274
71,187,773.573,618.120
72,189,774.227,615.714
73,188,774.504,614.904
74,184,774.985,612.163
75,179,776.397,612.609
76,177,776.754,613.420
77,178,778.627,615.075
78,185,777.576,616.745
79,187,775.242,617.774
80,180,774.218,619.216
81,185,773.356,620.453
82,186,775.377,621.303
83,190,775.270,619.163
84,189,775.642,620.395
85,189,774.393,622.660
86,188,774.366,624.693
87,186,776.572,626.962
88,184,777.747,631.617
89,173,775.496,630.220
90,166,773.354,628.594
91,175,771.970,627.971
92,172,771.378,629.662
93,169,771.103,629.468
94,163,769.930,628.423
95,163,770.181,628.369
96,163,769.106,630.346
97,165,771.472,633.001
98,172,772.424,633.724
99,169,772.659,631.968
100,166,774.464,633.576
101,164,773.420,634.782
102,166,773.505,634.198
103,169,775.623,633.418
104,167,775.018,634.433
105,173,774.329,636.952
106,167,774.081,637.558
107,170,774.876,637.155
108,165,775.906,635.084
109,169,776.828,634.257
110,165,776.808,633.378
111,167,777.459,633.390
112,159,776.360,633.551
113,154,775.691,632.052
114,162,775.449,633.846
115,166,777.152,637.009
116,168,776.950,640.206
117,171,776.887,642.227
118,164,776.285,643.108
119,165,773.813,641.209
120,164,773.450,641.454
121,163,773.507,640.247
122,161,774.159,638.881
123,161,774.838,639.744
124,158,774.355,641.536
125,162,772.557,642.054
126,164,774.434,644.090
127,162,776.797,643.092
128,164,779.474,641.577
129,157,782.050,640.318
130,160,780.556,641.584
131,150,780.304,641.827
132,152,779.086,645.070
133,156,780.702,644.446
134,167,781.621,643.982
135,168,782.876,643.532
136,165,785.919,643.113
137,169,786.982,642.242
138,169,785.056,640.286
139,164,786.728,640.993
140,165,787.833,643.357
141,162,786.099,644.702
142,169,788.040,646.321
143,163,786.227,646.574
144,160,783.639,647.123
145,156,783.065,647.083
146,157,782.604,648.462
147,158,783.544,650.220
148,160,782.951,653.338
149,152,783.003,656.324
150,154,781.691,655.682
151,159,781.112,654.150
152,160,781.629,655.667
153,158,781.966,658.748
154,166,781.068,659.101
155,163,779.867,657.820
156,164,780.466,657.076
157,162,780.427,657.493
158,166,780.209,657.254
159,172,781.126,654.841
160,173,780.493,649.765
161,169,780.040,650.020
162,164,780.776,651.416
163,173,779.121,649.261
164,173,780.102,649.926
165,178,778.018,647.747
166,168,776.342,649.114
167,175,778.875,648.931
168,176,783.001,648.780
169,182,784.457,649.037
170,173,784.787,648.229
171,173,785.097,647.314
172,177,784.581,647.506
173,180,787.211,648.291
174,176,786.008,647.873
175,180,784.239,646.143
176,175,782.744,646.175
177,180,781.663,646.216
178,190,783.609,646.765
179,185,784.224,646.806
180,189,783.495,644.530
181,193,783.824,642.677
182,196,783.042,641.931
183,188,781.965,641.555
184,192,781.137,641.341
185,190,781.090,641.680
186,193,780.297,641.578
187,196,783.063,640.524
188,194,784.852,639.835
189,191,786.498,641.551
190,199,788.579,640.879
191,192,789.139,640.931
192,195,790.036,639.450
193,192,789.546,639.961
194,189,789.544,640.559
195,203,788.211,644.353
196,186,789.011,644.228
197,186,789.034,645.197
198,180,789.085,645.277
199,186,788.850,643.473
200,184,786.583,644.397
201,180,785.303,644.874
202,182,784.489,646.199
203,189,785.013,647.931
204,184,785.463,647.917
205,181,784.572,648.555
206,184,781.668,648.212
207,183,780.860,647.106
208,187,780.969,647.778
209,191,782.271,648.511
210,201,780.919,650.634
211,193,780.475,652.251
212,197,780.811,652.697
213,196,780.599,653.285
214,195,782.142,657.020
215,203,779.543,658.778
216,193,778.527,658.543
217,188,780.612,656.699
218,191,782.379,656.766
219,194,783.079,654.711
220,185,782.906,653.610
221,188,783.631,653.357
222,185,784.609,652.646
223,182,784.334,652.193
224,187,781.850,652.346
225,183,782.676,651.129
226,188,783.048,652.038
227,184,782.461,649.269
228,184,781.070,649.137
229,191,779.982,650.208
230,183,781.677,651.290
231,189,781.459,651.213
232,180,780.440,651.396
233,179,781.488,650.423
234,187,780.221,651.344
235,186,777.469,650.875
236,193,774.249,650.217
237,190,774.779,649.473
238,194,773.764,652.532
239,190,774.797,654.160
240,186,773.603,653.659
241,190,772.010,653.325
242,188,769.700,655.147
243,200,768.811,654.612
244,196,768.475,654.560
245,196,768.190,654.241
246,207,770.170,653.512
247,198,772.201,651.990
248,194,772.446,652.001
249,198,774.155,651.863
250,201,772.133,650.899
251,199,770.067,651.294
252,209,769.161,650.865
253,214,771.955,651.185
254,211,771.720,651.970
255,196,772.785,652.300
256,204,773.115,652.159
257,207,770.843,650.201
258,194,769.965,650.506
259,191,770.078,650.095
260,192,769.410,649.105
261,191,771.407,648.350
262,188,771.669,648.525
263,184,771.410,651.281
264,183,773.559,651.959
265,178,775.501,652.375
266,187,774.029,654.328
267,181,771.214,653.631
268,184,770.042,655.903
269,182,770.424,656.319
270,187,771.278,655.518
271,185,770.872,655.783
272,184,772.280,655.417
273,187,772.266,655.710
274,187,771.664,655.773
275,179,773.925,657.846
276,183,773.929,657.198
277,182,774.461,654.678
278,199,774.798,653.829
279,197,774.875,652.562
280,197,773.811,651.975
281,200,774.966,652.142
282,198,774.867,652.889
283,201,774.725,653.127
284,206,776.968,654.181
285,191,777.022,655.795
286,207,777.266,655.352
287,205,775.450,654.455
288,213,775.982,653.270
289,215,776.705,652.527
290,205,776.781,651.106
291,216,775.848,650.258
292,212,774.367,647.354
293,213,773.143,647.067
294,220,773.325,645.369
295,222,773.926,640.872
296,216,773.866,640.466
297,215,774.409,638.903
298,217,776.378,636.917
299,217,774.428,638.320
300,223,774.294,638.198
301,224,774.005,638.194
302,221,772.032,636.749
303,222,772.320,638.088
304,217,771.941,640.532
305,218,773.527,639.875
306,230,774.200,639.642
307,232,774.199,641.038
308,226,774.135,642.682
309,232,773.344,643.327
310,230,774.557,644.615
311,227,773.089,645.642
312,237,771.884,645.364
313,235,769.806,646.013
314,227,768.592,645.450
315,234,769.007,647.116
316,221,768.801,646.670
317,224,770.220,642.851
318,222,773.006,644.359
319,196,773.044,645.134
320,199,771.968,645.625
321,205,773.430,641.820
322,203,774.755,640.223
323,207,775.227,640.035
324,218,773.848,640.728
325,216,771.683,643.462
326,199,770.881,643.773
327,200,773.213,643.625
328,182,773.023,642.411
329,183,772.023,642.002
330,190,771.263,642.887
331,193,770.931,643.554
332,186,769.885,645.955
333,187,772.465,647.106
334,198,771.506,646.369
335,195,770.741,643.941
336,196,769.995,643.435
337,189,770.253,643.442
338,189,770.358,642.995
339,190,767.619,642.481
340,188,768.269,641.264
